"","Type"
"...1","integer"
"directorio","integer"
"secuencia_p","integer"
"orden","integer"
"clase","integer"
"dominio","character"
"mes","integer"
"estrato1","integer"
"sex","integer"
"age","integer"
"p6050","integer"
"p6090","integer"
"p6100","integer"
"p6210","integer"
"p6210s1","integer"
"p6240","integer"
"oficio","integer"
"p6426","integer"
"relab","integer"
"p6500","numeric"
"p6510","integer"
"p6510s1","numeric"
"p6510s2","integer"
"p6545","integer"
"p6545s1","numeric"
"p6545s2","integer"
"p6580","integer"
"p6580s1","numeric"
"p6580s2","integer"
"p6585s1","integer"
"p6585s1a1","numeric"
"p6585s1a2","integer"
"p6585s2","integer"
"p6585s2a1","numeric"
"p6585s2a2","integer"
"p6585s3","integer"
"p6585s3a1","numeric"
"p6585s3a2","integer"
"p6585s4","integer"
"p6585s4a1","numeric"
"p6585s4a2","integer"
"p6590","integer"
"p6590s1","numeric"
"p6600","integer"
"p6600s1","numeric"
"p6610","integer"
"p6610s1","numeric"
"p6620","integer"
"p6620s1","numeric"
"p6630s1","integer"
"p6630s1a1","numeric"
"p6630s2","integer"
"p6630s2a1","numeric"
"p6630s3","integer"
"p6630s3a1","numeric"
"p6630s4","integer"
"p6630s4a1","numeric"
"p6630s6","integer"
"p6630s6a1","numeric"
"p6750","numeric"
"p6760","integer"
"p550","logical"
"hoursWorkUsual","integer"
"p6870","integer"
"p6920","integer"
"p7040","integer"
"hoursWorkActualSecondJob","integer"
"p7050","integer"
"p7070","numeric"
"p7090","integer"
"p7110","integer"
"p7120","integer"
"p7140s1","integer"
"p7140s2","integer"
"p7150","integer"
"p7160","integer"
"p7310","integer"
"p7350","integer"
"p7422","integer"
"p7422s1","numeric"
"p7472","integer"
"p7472s1","numeric"
"p7495","integer"
"p7500s1","integer"
"p7500s1a1","numeric"
"p7500s2","integer"
"p7500s2a1","numeric"
"p7500s3","integer"
"p7500s3a1","numeric"
"p7505","integer"
"p7510s1","integer"
"p7510s1a1","numeric"
"p7510s2","integer"
"p7510s2a1","numeric"
"p7510s3","integer"
"p7510s3a1","numeric"
"p7510s5","integer"
"p7510s5a1","numeric"
"p7510s6","integer"
"p7510s6a1","numeric"
"p7510s7","integer"
"p7510s7a1","numeric"
"pet","integer"
"ina","integer"
"impa","numeric"
"isa","numeric"
"ie","numeric"
"imdi","numeric"
"iof1","numeric"
"iof2","numeric"
"iof3h","numeric"
"iof3i","numeric"
"iof6","numeric"
"cclasnr2","integer"
"cclasnr3","integer"
"cclasnr4","integer"
"cclasnr5","integer"
"cclasnr6","integer"
"cclasnr7","integer"
"cclasnr8","integer"
"cclasnr11","integer"
"impaes","numeric"
"isaes","numeric"
"iees","numeric"
"imdies","numeric"
"iof1es","numeric"
"iof2es","numeric"
"iof3hes","numeric"
"iof3ies","integer"
"iof6es","numeric"
"ingtotob","numeric"
"ingtotes","numeric"
"ingtot","numeric"
"fex_c","numeric"
"depto","integer"
"fex_dpto","numeric"
"fweight","integer"
"maxEducLevel","integer"
"college","integer"
"regSalud","integer"
"cotPension","integer"
"wap","integer"
"ocu","integer"
"dsi","integer"
"pea","integer"
"inac","integer"
"totalHoursWorked","integer"
"formal","integer"
"informal","integer"
"cuentaPropia","integer"
"microEmpresa","integer"
"sizeFirm","integer"
"y_salary_m","numeric"
"y_salary_m_hu","numeric"
"y_ingLab_m","numeric"
"y_horasExtras_m","numeric"
"y_especie_m","numeric"
"y_vivienda_m","numeric"
"y_otros_m","numeric"
"y_auxilioAliment_m","numeric"
"y_auxilioTransp_m","numeric"
"y_subFamiliar_m","numeric"
"y_subEducativo_m","numeric"
"y_primas_m","numeric"
"y_bonificaciones_m","numeric"
"y_primaServicios_m","numeric"
"y_primaNavidad_m","numeric"
"y_primaVacaciones_m","numeric"
"y_viaticos_m","numeric"
"y_accidentes_m","numeric"
"y_salarySec_m","numeric"
"y_ingLab_m_ha","numeric"
"y_gananciaNeta_m","numeric"
"y_gananciaNetaAgro_m","logical"
"y_gananciaIndep_m","numeric"
"y_gananciaIndep_m_hu","numeric"
"y_total_m","numeric"
"y_total_m_ha","numeric"
